revisions,channels,sample,elapsed_ns,alloc_calls,alloc_bytes
16,1,0,25750,45,6968
16,1,1,15500,45,6968
16,1,2,14875,45,6968
16,1,3,12458,45,6968
16,1,4,17209,45,6968
16,1,5,10625,45,6968
16,1,6,10417,45,6968
16,1,7,10833,45,6968
16,1,8,9375,45,6968
16,1,9,9833,45,6968
16,1,10,10958,45,6968
16,1,11,9625,45,6968
16,1,12,10625,45,6968
16,1,13,9834,45,6968
16,1,14,9750,45,6968
16,1,15,9791,45,6968
16,1,16,9708,45,6968
16,1,17,9542,45,6968
16,1,18,10500,45,6968
16,1,19,9709,45,6968
16,1,20,9833,45,6968
16,1,21,7291,45,6968
16,1,22,9166,45,6968
16,1,23,10208,45,6968
16,1,24,10250,45,6968
16,1,25,9500,45,6968
16,1,26,7209,45,6968
16,1,27,6833,45,6968
16,1,28,9041,45,6968
16,1,29,9375,45,6968
16,1,30,7041,45,6968
16,8,0,28500,339,52048
16,8,1,27541,339,52048
16,8,2,30083,339,52048
16,8,3,26583,339,52048
16,8,4,30750,339,52048
16,8,5,27166,339,52048
16,8,6,26125,339,52048
16,8,7,27333,339,52048
16,8,8,29709,339,52048
16,8,9,30875,339,52048
16,8,10,30666,339,52048
16,8,11,26875,339,52048
16,8,12,23875,339,52048
16,8,13,25208,339,52048
16,8,14,30292,339,52048
16,8,15,26375,339,52048
16,8,16,27833,339,52048
16,8,17,28292,339,52048
16,8,18,30542,339,52048
16,8,19,27416,339,52048
16,8,20,29166,339,52048
16,8,21,31000,339,52048
16,8,22,29833,339,52048
16,8,23,29167,339,52048
16,8,24,30625,339,52048
16,8,25,25792,339,52048
16,8,26,25375,339,52048
16,8,27,31000,339,52048
16,8,28,24958,339,52048
16,8,29,26375,339,52048
16,8,30,33208,339,52048
128,1,0,10583,45,8760
128,1,1,10958,45,8760
128,1,2,10875,45,8760
128,1,3,16917,45,8760
128,1,4,10666,45,8760
128,1,5,10875,45,8760
128,1,6,9166,45,8760
128,1,7,11708,45,8760
128,1,8,10333,45,8760
128,1,9,11584,45,8760
128,1,10,11416,45,8760
128,1,11,10875,45,8760
128,1,12,10667,45,8760
128,1,13,10542,45,8760
128,1,14,8041,45,8760
128,1,15,11667,45,8760
128,1,16,11042,45,8760
128,1,17,10708,45,8760
128,1,18,13291,45,8760
128,1,19,8083,45,8760
128,1,20,10625,45,8760
128,1,21,10833,45,8760
128,1,22,7958,45,8760
128,1,23,13167,45,8760
128,1,24,11459,45,8760
128,1,25,8209,45,8760
128,1,26,7875,45,8760
128,1,27,9666,45,8760
128,1,28,7708,45,8760
128,1,29,7875,45,8760
128,1,30,7917,45,8760
128,8,0,26542,339,66384
128,8,1,28792,339,66384
128,8,2,34875,339,66384
128,8,3,28667,339,66384
128,8,4,30583,339,66384
128,8,5,37333,339,66384
128,8,6,31375,339,66384
128,8,7,34666,339,66384
128,8,8,32167,339,66384
128,8,9,34125,339,66384
128,8,10,31291,339,66384
128,8,11,28042,339,66384
128,8,12,31958,339,66384
128,8,13,29792,339,66384
128,8,14,32292,339,66384
128,8,15,34041,339,66384
128,8,16,34291,339,66384
128,8,17,28583,339,66384
128,8,18,33834,339,66384
128,8,19,28083,339,66384
128,8,20,30958,339,66384
128,8,21,28125,339,66384
128,8,22,31500,339,66384
128,8,23,32833,339,66384
128,8,24,38500,339,66384
128,8,25,30750,339,66384
128,8,26,30625,339,66384
128,8,27,30042,339,66384
128,8,28,29667,339,66384
128,8,29,30208,339,66384
128,8,30,31166,339,66384
1024,1,0,13333,45,23096
1024,1,1,17625,45,23096
1024,1,2,12958,45,23096
1024,1,3,11375,45,23096
1024,1,4,11167,45,23096
1024,1,5,11708,45,23096
1024,1,6,11333,45,23096
1024,1,7,11583,45,23096
1024,1,8,11458,45,23096
1024,1,9,14292,45,23096
1024,1,10,11500,45,23096
1024,1,11,14625,45,23096
1024,1,12,11500,45,23096
1024,1,13,12458,45,23096
1024,1,14,10458,45,23096
1024,1,15,11375,45,23096
1024,1,16,11708,45,23096
1024,1,17,11542,45,23096
1024,1,18,12750,45,23096
1024,1,19,11625,45,23096
1024,1,20,12750,45,23096
1024,1,21,11334,45,23096
1024,1,22,13209,45,23096
1024,1,23,14417,45,23096
1024,1,24,11166,45,23096
1024,1,25,10917,45,23096
1024,1,26,11875,45,23096
1024,1,27,11208,45,23096
1024,1,28,14167,45,23096
1024,1,29,13292,45,23096
1024,1,30,13000,45,23096
1024,8,0,75541,339,181072
1024,8,1,40708,339,181072
1024,8,2,48875,339,181072
1024,8,3,41041,339,181072
1024,8,4,42584,339,181072
1024,8,5,48792,339,181072
1024,8,6,44667,339,181072
1024,8,7,39375,339,181072
1024,8,8,48166,339,181072
1024,8,9,43500,339,181072
1024,8,10,55000,339,181072
1024,8,11,51875,339,181072
1024,8,12,42208,339,181072
1024,8,13,41875,339,181072
1024,8,14,41583,339,181072
1024,8,15,45583,339,181072
1024,8,16,45416,339,181072
1024,8,17,41500,339,181072
1024,8,18,46083,339,181072
1024,8,19,51541,339,181072
1024,8,20,51458,339,181072
1024,8,21,53125,339,181072
1024,8,22,38833,339,181072
1024,8,23,45166,339,181072
1024,8,24,50833,339,181072
1024,8,25,42958,339,181072
1024,8,26,42041,339,181072
1024,8,27,41458,339,181072
1024,8,28,45167,339,181072
1024,8,29,52750,339,181072
1024,8,30,42125,339,181072
