revisions,channels,sample,elapsed_ns,alloc_calls,alloc_bytes
16,1,0,24959,52,8568
16,1,1,13666,52,8568
16,1,2,16875,52,8568
16,1,3,11917,52,8568
16,1,4,12250,52,8568
16,1,5,11375,52,8568
16,1,6,12416,52,8568
16,1,7,10375,52,8568
16,1,8,14375,52,8568
16,1,9,11625,52,8568
16,1,10,13542,52,8568
16,1,11,12708,52,8568
16,1,12,12875,52,8568
16,1,13,11792,52,8568
16,1,14,12375,52,8568
16,1,15,11958,52,8568
16,1,16,12875,52,8568
16,1,17,17875,52,8568
16,1,18,15917,52,8568
16,1,19,15292,52,8568
16,1,20,11708,52,8568
16,1,21,12875,52,8568
16,1,22,10208,52,8568
16,1,23,10959,52,8568
16,1,24,9833,52,8568
16,1,25,10208,52,8568
16,1,26,11375,52,8568
16,1,27,10667,52,8568
16,1,28,12167,52,8568
16,1,29,16709,52,8568
16,1,30,14125,52,8568
16,8,0,48209,395,64848
16,8,1,51708,395,64848
16,8,2,39666,395,64848
16,8,3,34292,395,64848
16,8,4,45208,395,64848
16,8,5,42417,395,64848
16,8,6,42708,395,64848
16,8,7,37625,395,64848
16,8,8,42584,395,64848
16,8,9,37375,395,64848
16,8,10,37750,395,64848
16,8,11,39917,395,64848
16,8,12,43167,395,64848
16,8,13,37125,395,64848
16,8,14,39583,395,64848
16,8,15,42417,395,64848
16,8,16,39709,395,64848
16,8,17,40958,395,64848
16,8,18,42000,395,64848
16,8,19,37584,395,64848
16,8,20,39709,395,64848
16,8,21,38583,395,64848
16,8,22,41875,395,64848
16,8,23,35667,395,64848
16,8,24,45083,395,64848
16,8,25,44583,395,64848
16,8,26,43875,395,64848
16,8,27,36958,395,64848
16,8,28,39041,395,64848
16,8,29,37041,395,64848
16,8,30,45292,395,64848
128,1,0,18333,58,22056
128,1,1,17584,58,22056
128,1,2,15750,58,22056
128,1,3,17791,58,22056
128,1,4,23958,58,22056
128,1,5,19041,58,22056
128,1,6,18958,58,22056
128,1,7,17375,58,22056
128,1,8,16458,58,22056
128,1,9,16209,58,22056
128,1,10,14708,58,22056
128,1,11,18000,58,22056
128,1,12,16375,58,22056
128,1,13,16667,58,22056
128,1,14,16125,58,22056
128,1,15,15667,58,22056
128,1,16,18041,58,22056
128,1,17,14875,58,22056
128,1,18,18500,58,22056
128,1,19,14458,58,22056
128,1,20,20792,58,22056
128,1,21,15833,58,22056
128,1,22,14417,58,22056
128,1,23,16125,58,22056
128,1,24,18250,58,22056
128,1,25,16208,58,22056
128,1,26,16250,58,22056
128,1,27,16625,58,22056
128,1,28,17417,58,22056
128,1,29,18417,58,22056
128,1,30,17167,58,22056
128,8,0,125625,443,172752
128,8,1,118292,443,172752
128,8,2,95542,443,172752
128,8,3,108041,443,172752
128,8,4,130083,443,172752
128,8,5,100167,443,172752
128,8,6,100667,443,172752
128,8,7,111417,443,172752
128,8,8,110416,443,172752
128,8,9,99209,443,172752
128,8,10,99708,443,172752
128,8,11,121916,443,172752
128,8,12,107125,443,172752
128,8,13,107458,443,172752
128,8,14,119917,443,172752
128,8,15,117333,443,172752
128,8,16,115709,443,172752
128,8,17,99792,443,172752
128,8,18,120417,443,172752
128,8,19,104500,443,172752
128,8,20,96959,443,172752
128,8,21,119458,443,172752
128,8,22,108417,443,172752
128,8,23,91583,443,172752
128,8,24,95291,443,172752
128,8,25,112750,443,172752
128,8,26,95208,443,172752
128,8,27,153542,443,172752
128,8,28,140250,443,172752
128,8,29,151667,443,172752
128,8,30,124000,443,172752
1024,1,0,90000,64,129624
1024,1,1,105584,64,129624
1024,1,2,97166,64,129624
1024,1,3,92000,64,129624
1024,1,4,83250,64,129624
1024,1,5,92959,64,129624
1024,1,6,94875,64,129624
1024,1,7,89667,64,129624
1024,1,8,92375,64,129624
1024,1,9,94833,64,129624
1024,1,10,99625,64,129624
1024,1,11,96708,64,129624
1024,1,12,91375,64,129624
1024,1,13,106500,64,129624
1024,1,14,91459,64,129624
1024,1,15,99458,64,129624
1024,1,16,93250,64,129624
1024,1,17,95625,64,129624
1024,1,18,87833,64,129624
1024,1,19,102792,64,129624
1024,1,20,96292,64,129624
1024,1,21,87333,64,129624
1024,1,22,97625,64,129624
1024,1,23,95292,64,129624
1024,1,24,97750,64,129624
1024,1,25,94666,64,129624
1024,1,26,90625,64,129624
1024,1,27,93500,64,129624
1024,1,28,86625,64,129624
1024,1,29,89791,64,129624
1024,1,30,96375,64,129624
1024,8,0,1123625,491,1033296
1024,8,1,1057500,491,1033296
1024,8,2,919958,491,1033296
1024,8,3,1008167,491,1033296
1024,8,4,1004167,491,1033296
1024,8,5,1009958,491,1033296
1024,8,6,1034208,491,1033296
1024,8,7,973417,491,1033296
1024,8,8,952500,491,1033296
1024,8,9,912000,491,1033296
1024,8,10,968458,491,1033296
1024,8,11,957000,491,1033296
1024,8,12,992833,491,1033296
1024,8,13,1005833,491,1033296
1024,8,14,891291,491,1033296
1024,8,15,970833,491,1033296
1024,8,16,966125,491,1033296
1024,8,17,956459,491,1033296
1024,8,18,905875,491,1033296
1024,8,19,1007750,491,1033296
1024,8,20,986500,491,1033296
1024,8,21,943792,491,1033296
1024,8,22,963125,491,1033296
1024,8,23,957458,491,1033296
1024,8,24,987542,491,1033296
1024,8,25,938792,491,1033296
1024,8,26,990750,491,1033296
1024,8,27,954417,491,1033296
1024,8,28,987667,491,1033296
1024,8,29,961291,491,1033296
1024,8,30,925792,491,1033296
