revisions,channels,sample,elapsed_ns,alloc_calls,alloc_bytes
16,1,0,24250,52,8568
16,1,1,13250,52,8568
16,1,2,16334,52,8568
16,1,3,14666,52,8568
16,1,4,12042,52,8568
16,1,5,12042,52,8568
16,1,6,16459,52,8568
16,1,7,12125,52,8568
16,1,8,14708,52,8568
16,1,9,12417,52,8568
16,1,10,11875,52,8568
16,1,11,11916,52,8568
16,1,12,12958,52,8568
16,1,13,12167,52,8568
16,1,14,11542,52,8568
16,1,15,14083,52,8568
16,1,16,13542,52,8568
16,1,17,12500,52,8568
16,1,18,10917,52,8568
16,1,19,11958,52,8568
16,1,20,9542,52,8568
16,1,21,11375,52,8568
16,1,22,10750,52,8568
16,1,23,11208,52,8568
16,1,24,11125,52,8568
16,1,25,11250,52,8568
16,1,26,11667,52,8568
16,1,27,14000,52,8568
16,1,28,11792,52,8568
16,1,29,14541,52,8568
16,1,30,12917,52,8568
16,8,0,44583,395,64848
16,8,1,44750,395,64848
16,8,2,41292,395,64848
16,8,3,43708,395,64848
16,8,4,54834,395,64848
16,8,5,47292,395,64848
16,8,6,47208,395,64848
16,8,7,47167,395,64848
16,8,8,49542,395,64848
16,8,9,41500,395,64848
16,8,10,51916,395,64848
16,8,11,40083,395,64848
16,8,12,55333,395,64848
16,8,13,53250,395,64848
16,8,14,45834,395,64848
16,8,15,44959,395,64848
16,8,16,47083,395,64848
16,8,17,52375,395,64848
16,8,18,51084,395,64848
16,8,19,48333,395,64848
16,8,20,41917,395,64848
16,8,21,47291,395,64848
16,8,22,41875,395,64848
16,8,23,40084,395,64848
16,8,24,38750,395,64848
16,8,25,39125,395,64848
16,8,26,37583,395,64848
16,8,27,39666,395,64848
16,8,28,36166,395,64848
16,8,29,37833,395,64848
16,8,30,39625,395,64848
128,1,0,15750,58,22056
128,1,1,17958,58,22056
128,1,2,15167,58,22056
128,1,3,18125,58,22056
128,1,4,19708,58,22056
128,1,5,15000,58,22056
128,1,6,17375,58,22056
128,1,7,15542,58,22056
128,1,8,22666,58,22056
128,1,9,18000,58,22056
128,1,10,17917,58,22056
128,1,11,16458,58,22056
128,1,12,16167,58,22056
128,1,13,15750,58,22056
128,1,14,13291,58,22056
128,1,15,16208,58,22056
128,1,16,15625,58,22056
128,1,17,16208,58,22056
128,1,18,15333,58,22056
128,1,19,22417,58,22056
128,1,20,20292,58,22056
128,1,21,20417,58,22056
128,1,22,16583,58,22056
128,1,23,16292,58,22056
128,1,24,16666,58,22056
128,1,25,16792,58,22056
128,1,26,18000,58,22056
128,1,27,18875,58,22056
128,1,28,31291,58,22056
128,1,29,19167,58,22056
128,1,30,22417,58,22056
128,8,0,102083,443,172752
128,8,1,96834,443,172752
128,8,2,105125,443,172752
128,8,3,107958,443,172752
128,8,4,117167,443,172752
128,8,5,108334,443,172752
128,8,6,109292,443,172752
128,8,7,98791,443,172752
128,8,8,104125,443,172752
128,8,9,96500,443,172752
128,8,10,94834,443,172752
128,8,11,93542,443,172752
128,8,12,92958,443,172752
128,8,13,99625,443,172752
128,8,14,104041,443,172752
128,8,15,95166,443,172752
128,8,16,104375,443,172752
128,8,17,95084,443,172752
128,8,18,118084,443,172752
128,8,19,97417,443,172752
128,8,20,102458,443,172752
128,8,21,92583,443,172752
128,8,22,92042,443,172752
128,8,23,95042,443,172752
128,8,24,100083,443,172752
128,8,25,94834,443,172752
128,8,26,98125,443,172752
128,8,27,134500,443,172752
128,8,28,140208,443,172752
128,8,29,137000,443,172752
128,8,30,139917,443,172752
1024,1,0,97042,64,129624
1024,1,1,87917,64,129624
1024,1,2,96125,64,129624
1024,1,3,91083,64,129624
1024,1,4,92500,64,129624
1024,1,5,84292,64,129624
1024,1,6,85292,64,129624
1024,1,7,91958,64,129624
1024,1,8,87292,64,129624
1024,1,9,88458,64,129624
1024,1,10,80625,64,129624
1024,1,11,91916,64,129624
1024,1,12,101541,64,129624
1024,1,13,88791,64,129624
1024,1,14,90083,64,129624
1024,1,15,82500,64,129624
1024,1,16,90959,64,129624
1024,1,17,83166,64,129624
1024,1,18,87542,64,129624
1024,1,19,79583,64,129624
1024,1,20,93000,64,129624
1024,1,21,89625,64,129624
1024,1,22,84583,64,129624
1024,1,23,82583,64,129624
1024,1,24,84917,64,129624
1024,1,25,85958,64,129624
1024,1,26,95750,64,129624
1024,1,27,83791,64,129624
1024,1,28,92250,64,129624
1024,1,29,84458,64,129624
1024,1,30,83875,64,129624
1024,8,0,1100416,491,1033296
1024,8,1,1026542,491,1033296
1024,8,2,923250,491,1033296
1024,8,3,1049708,491,1033296
1024,8,4,971750,491,1033296
1024,8,5,992792,491,1033296
1024,8,6,940167,491,1033296
1024,8,7,915834,491,1033296
1024,8,8,918625,491,1033296
1024,8,9,865917,491,1033296
1024,8,10,925958,491,1033296
1024,8,11,944167,491,1033296
1024,8,12,971917,491,1033296
1024,8,13,1017542,491,1033296
1024,8,14,941583,491,1033296
1024,8,15,884875,491,1033296
1024,8,16,927541,491,1033296
1024,8,17,887333,491,1033296
1024,8,18,954542,491,1033296
1024,8,19,932250,491,1033296
1024,8,20,928667,491,1033296
1024,8,21,892833,491,1033296
1024,8,22,969208,491,1033296
1024,8,23,997166,491,1033296
1024,8,24,973292,491,1033296
1024,8,25,963625,491,1033296
1024,8,26,926166,491,1033296
1024,8,27,941125,491,1033296
1024,8,28,948042,491,1033296
1024,8,29,1085458,491,1033296
1024,8,30,946542,491,1033296
