backend,phase,repeat,operation,revisions,channels,samples,p50_us,p95_us,p99_us,operations_per_second,allocation_calls_per_operation,requested_allocation_bytes_per_operation
memory,baseline,1,update,16,1,31,12.125,16.459,24.25,77130.16087858718,52.0,8568.0
memory,baseline,1,update,16,8,31,44.75,54.834,55.333,178155.67213896717,49.375,8106.0
memory,baseline,1,update,128,1,31,16.792,22.666,31.291,55609.67034228649,58.0,22056.0
memory,baseline,1,update,128,8,31,100.083,139.917,140.208,75884.44390318981,55.375,21594.0
memory,baseline,1,update,1024,1,31,87.917,97.042,101.541,11316.119447116305,64.0,129624.0
memory,baseline,1,update,1024,8,31,944.167,1085.458,1100.416,8360.067289102892,61.375,129162.0
memory,baseline,2,update,16,1,31,13.292,34.417,45.459,61375.80803231139,52.0,8568.0
memory,baseline,2,update,16,8,31,42.25,52.583,57.0,186443.17542799233,49.375,8106.0
memory,baseline,2,update,128,1,31,19.083,26.958,30.5,50131.63597316825,58.0,22056.0
memory,baseline,2,update,128,8,31,108.542,171.75,361.25,65223.09718188881,55.375,21594.0
memory,baseline,2,update,1024,1,31,98.375,114.667,138.083,9951.44657116488,64.0,129624.0
memory,baseline,2,update,1024,8,31,991.166,1444.209,1486.542,7756.676316743502,61.375,129162.0
memory,baseline,3,update,16,1,31,13.0,20.375,23.75,69839.95386057242,52.0,8568.0
memory,baseline,3,update,16,8,31,43.75,71.333,96.667,169640.27369542868,49.375,8106.0
memory,baseline,3,update,128,1,31,18.5,25.084,25.583,52310.08065876953,58.0,22056.0
memory,baseline,3,update,128,8,31,114.583,205.083,229.0,64925.715033706394,55.375,21594.0
memory,baseline,3,update,1024,1,31,94.875,107.75,109.042,10438.441480076719,64.0,129624.0
memory,baseline,3,update,1024,8,31,1279.459,2629.458,3364.167,5031.387029851117,61.375,129162.0
memory,after,1,update,16,1,31,13.667,20.916,47.75,66292.71870716367,45.0,6968.0
memory,after,1,update,16,8,31,29.292,33.458,54.583,269017.5327837999,42.375,6506.0
memory,after,1,update,128,1,31,10.5,14.333,16.167,92930.67371740681,45.0,8760.0
memory,after,1,update,128,8,31,31.0,42.916,46.458,252535.53826728035,42.375,8298.0
memory,after,1,update,1024,1,31,12.584,19.792,22.083,71994.90926319016,45.0,23096.0
memory,after,1,update,1024,8,31,45.875,75.75,110.75,158965.7992774748,42.375,22634.0
memory,after,2,update,16,1,31,9.833,17.209,25.75,93187.11973643076,45.0,6968.0
memory,after,2,update,16,8,31,28.292,31.0,33.208,282287.16344654415,42.375,6506.0
memory,after,2,update,128,1,31,10.667,13.291,16.917,95889.43638663858,45.0,8760.0
memory,after,2,update,128,8,31,31.166,37.333,38.5,254174.92564358527,42.375,8298.0
memory,after,2,update,1024,1,31,11.708,14.625,17.625,80790.60118631876,45.0,23096.0
memory,after,2,update,1024,8,31,45.166,55.0,75.541,172003.99215717282,42.375,22634.0
memory,after,3,update,16,1,31,11.292,17.709,22.125,82998.66131191433,45.0,6968.0
memory,after,3,update,16,8,31,31.5,40.333,43.833,250189.1551071879,42.375,6506.0
memory,after,3,update,128,1,31,10.958,14.166,14.459,91694.00232488663,45.0,8760.0
memory,after,3,update,128,8,31,33.625,42.292,42.334,235564.10003115525,42.375,8298.0
memory,after,3,update,1024,1,31,12.042,16.667,19.834,76519.21496222173,45.0,23096.0
memory,after,3,update,1024,8,31,40.833,47.625,54.041,196370.62738831816,42.375,22634.0
postgres,baseline,1,update,16,1,11,2324.916,5829.75,5829.75,374.0198215544631,,
postgres,baseline,1,update,16,8,11,4604.166,11730.959,11730.959,1533.0254089205912,,
postgres,baseline,1,update,128,1,11,2464.375,2726.083,2726.083,407.1089965129634,,
postgres,baseline,1,update,128,8,11,4716.583,5421.083,5421.083,1716.2611531621098,,
postgres,baseline,1,update,1024,1,11,3055.959,3435.958,3435.958,322.048207864669,,
postgres,baseline,1,update,1024,8,11,5365.916,5771.833,5771.833,1504.1899895882705,,
postgres,baseline,1,capped_append,16,1,11,2316.625,3019.125,3019.125,416.2541020895729,,
postgres,baseline,1,capped_append,16,8,11,4729.958,5945.083,5945.083,1714.099367197366,,
postgres,baseline,1,capped_append,128,1,11,2239.917,2587.75,2587.75,437.0513196387143,,
postgres,baseline,1,capped_append,128,8,11,4544.625,5665.084,5665.084,1734.1851966325592,,
postgres,baseline,1,capped_append,1024,1,11,2627.584,2888.25,2888.25,379.4275486890054,,
postgres,baseline,1,capped_append,1024,8,11,4736.042,5203.584,5203.584,1710.5466592226787,,
mysql,baseline,1,update,16,1,11,2864.042,5338.459,5338.459,305.74700413797996,,
mysql,baseline,1,update,16,8,11,7616.584,32274.5,32274.5,738.937453453763,,
mysql,baseline,1,update,128,1,11,3444.834,8818.375,8818.375,249.89562881884535,,
mysql,baseline,1,update,128,8,11,6334.292,8898.833,8898.833,1208.6895161636469,,
mysql,baseline,1,update,1024,1,11,4667.5,5132.333,5132.333,211.44240162892152,,
mysql,baseline,1,update,1024,8,11,11788.292,13856.792,13856.792,681.1808871356187,,
mysql,baseline,1,capped_append,16,1,11,2989.625,3655.5,3655.5,330.3150346611577,,
mysql,baseline,1,capped_append,16,8,11,5637.0,7121.584,7121.584,1385.7649687182454,,
mysql,baseline,1,capped_append,128,1,11,3273.667,6678.375,6678.375,287.3194086506859,,
mysql,baseline,1,capped_append,128,8,11,7140.458,7943.417,7943.417,1123.7389860809603,,
mysql,baseline,1,capped_append,1024,1,11,4474.041,4805.75,4805.75,223.0920649438037,,
mysql,baseline,1,capped_append,1024,8,11,11536.833,13596.208,13596.208,672.6315993596455,,
postgres,baseline,2,update,16,1,11,2344.459,4053.5,4053.5,386.62794529214574,,
postgres,baseline,2,update,16,8,11,4436.458,10757.042,10757.042,1590.1004106849905,,
postgres,baseline,2,update,128,1,11,2338.334,2450.375,2450.375,432.1527796793591,,
postgres,baseline,2,update,128,8,11,4394.333,6732.084,6732.084,1770.7781600109756,,
postgres,baseline,2,update,1024,1,11,3010.041,3422.208,3422.208,326.0603883995776,,
postgres,baseline,2,update,1024,8,11,5341.292,6518.042,6518.042,1451.2731095452607,,
postgres,baseline,2,capped_append,16,1,11,2366.5,2677.75,2677.75,407.2571898387554,,
postgres,baseline,2,capped_append,16,8,11,4388.041,5049.166,5049.166,1802.3692676541507,,
postgres,baseline,2,capped_append,128,1,11,2349.042,2667.75,2667.75,421.8256098534168,,
postgres,baseline,2,capped_append,128,8,11,4158.042,5607.0,5607.0,1795.5747896076048,,
postgres,baseline,2,capped_append,1024,1,11,2723.167,3243.834,3243.834,364.3489941351074,,
postgres,baseline,2,capped_append,1024,8,11,4510.083,6174.834,6174.834,1732.0121046389602,,
mysql,baseline,2,update,16,1,11,2958.833,5171.584,5171.584,310.9782297993984,,
mysql,baseline,2,update,16,8,11,6895.0,15333.625,15333.625,987.2494268400046,,
mysql,baseline,2,update,128,1,11,3012.625,7865.167,7865.167,288.04860919787916,,
mysql,baseline,2,update,128,8,11,6130.959,6674.209,6674.209,1317.2502269786798,,
mysql,baseline,2,update,1024,1,11,4524.916,5452.208,5452.208,214.9609583022055,,
mysql,baseline,2,update,1024,8,11,10903.084,22936.625,22936.625,652.7098413557578,,
mysql,baseline,2,capped_append,16,1,11,2791.416,3873.875,3873.875,341.30531535245916,,
mysql,baseline,2,capped_append,16,8,11,5813.916,7467.042,7467.042,1336.556601584916,,
mysql,baseline,2,capped_append,128,1,11,2697.292,3318.917,3318.917,363.37007643456525,,
mysql,baseline,2,capped_append,128,8,11,6405.5,8106.542,8106.542,1227.416735082364,,
mysql,baseline,2,capped_append,1024,1,11,4378.166,5330.5,5330.5,221.58674724312849,,
mysql,baseline,2,capped_append,1024,8,11,11373.208,13321.667,13321.667,704.3873961625919,,
postgres,baseline,3,update,16,1,11,2284.834,4395.333,4395.333,402.7251016395781,,
postgres,baseline,3,update,16,8,11,4382.333,10736.083,10736.083,1633.1732526605135,,
postgres,baseline,3,update,128,1,11,2469.416,3537.459,3537.459,379.339226931485,,
postgres,baseline,3,update,128,8,11,4562.25,5809.416,5809.416,1720.4077069104046,,
postgres,baseline,3,update,1024,1,11,3004.292,3831.833,3831.833,324.94870167780175,,
postgres,baseline,3,update,1024,8,11,5141.458,5752.666,5752.666,1547.4273378677292,,
postgres,baseline,3,capped_append,16,1,11,2226.208,2794.75,2794.75,431.73441017838206,,
postgres,baseline,3,capped_append,16,8,11,4258.708,4809.459,4809.459,1880.529491286214,,
postgres,baseline,3,capped_append,128,1,11,2507.042,2981.333,2981.333,386.9798722269858,,
postgres,baseline,3,capped_append,128,8,11,4665.25,5197.208,5197.208,1788.6875431978206,,
postgres,baseline,3,capped_append,1024,1,11,2675.25,2842.041,2842.041,380.5883078704762,,
postgres,baseline,3,capped_append,1024,8,11,4520.25,4860.666,4860.666,1779.8948098348249,,
mysql,baseline,3,update,16,1,11,2860.583,4945.458,4945.458,325.62160720786517,,
mysql,baseline,3,update,16,8,11,5565.0,14133.875,14133.875,1236.0613539841354,,
mysql,baseline,3,update,128,1,11,2543.375,3438.333,3438.333,379.64692146037055,,
mysql,baseline,3,update,128,8,11,6025.458,8126.334,8126.334,1332.3988170660484,,
mysql,baseline,3,update,1024,1,11,4883.542,6350.334,6350.334,206.78845905338486,,
mysql,baseline,3,update,1024,8,11,11258.542,14204.959,14204.959,692.546428922508,,
mysql,baseline,3,capped_append,16,1,11,2576.75,3074.5,3074.5,374.0356680413044,,
mysql,baseline,3,capped_append,16,8,11,5410.5,6211.208,6211.208,1514.5299789592202,,
mysql,baseline,3,capped_append,128,1,11,2679.584,3460.417,3460.417,361.69534499735056,,
mysql,baseline,3,capped_append,128,8,11,7181.5,8593.167,8593.167,1154.3185062258037,,
mysql,baseline,3,capped_append,1024,1,11,4482.708,7102.75,7102.75,212.70647780368265,,
mysql,baseline,3,capped_append,1024,8,11,11261.542,13995.958,13995.958,703.7740885175858,,
postgres,after,1,update,16,1,11,2048.083,3876.083,3876.083,452.93974571386207,,
postgres,after,1,update,16,8,11,3879.791,11934.541,11934.541,1727.2386696234637,,
postgres,after,1,update,128,1,11,1987.833,2135.042,2135.042,501.85632090773584,,
postgres,after,1,update,128,8,11,4018.167,4500.084,4500.084,1973.2895526157927,,
postgres,after,1,update,1024,1,11,2321.791,2564.0,2564.0,435.48256515858395,,
postgres,after,1,update,1024,8,11,4546.375,4982.791,4982.791,1805.5340521465316,,
postgres,after,1,capped_append,16,1,11,2255.041,2727.708,2727.708,429.4659224256485,,
postgres,after,1,capped_append,16,8,11,4373.167,4922.666,4922.666,1806.9846362774015,,
postgres,after,1,capped_append,128,1,11,2390.667,2528.084,2528.084,421.9975507262156,,
postgres,after,1,capped_append,128,8,11,4422.75,5047.375,5047.375,1798.0069542413974,,
postgres,after,1,capped_append,1024,1,11,2331.125,2714.458,2714.458,425.13376930672547,,
postgres,after,1,capped_append,1024,8,11,4561.208,5157.875,5157.875,1731.431348127273,,
mysql,after,1,update,16,1,11,2689.791,3911.5,3911.5,341.9769031908466,,
mysql,after,1,update,16,8,11,5895.625,14676.75,14676.75,1086.9817092105543,,
mysql,after,1,update,128,1,11,2642.292,5374.584,5374.584,330.26627057532596,,
mysql,after,1,update,128,8,11,5895.875,6964.167,6964.167,1390.238359210356,,
mysql,after,1,update,1024,1,11,2935.25,4530.958,4530.958,319.68380365602025,,
mysql,after,1,update,1024,8,11,5687.625,21058.541,21058.541,1087.851217555842,,
mysql,after,1,capped_append,16,1,11,2762.292,3078.875,3078.875,358.78778263670665,,
mysql,after,1,capped_append,16,8,11,6632.959,7675.167,7675.167,1251.9338999956053,,
mysql,after,1,capped_append,128,1,11,2893.333,4145.625,4145.625,337.22546704654195,,
mysql,after,1,capped_append,128,8,11,7487.5,8203.833,8203.833,1114.9090233603467,,
mysql,after,1,capped_append,1024,1,11,3022.208,11494.5,11494.5,266.4225912794073,,
mysql,after,1,capped_append,1024,8,11,5847.208,9120.917,9120.917,1239.3006282930278,,
postgres,after,2,update,16,1,11,1963.25,3535.792,3535.792,480.78412919351393,,
postgres,after,2,update,16,8,11,3594.25,10296.625,10296.625,1897.9817142833972,,
postgres,after,2,update,128,1,11,1911.25,2071.667,2071.667,525.2728338727248,,
postgres,after,2,update,128,8,11,3881.083,4250.834,4250.834,2059.1819179117424,,
postgres,after,2,update,1024,1,11,2098.709,2404.792,2404.792,477.53068362554666,,
postgres,after,2,update,1024,8,11,4063.125,4757.333,4757.333,1944.0192700026494,,
postgres,after,2,capped_append,16,1,11,2244.625,2656.291,2656.291,438.48576832652265,,
postgres,after,2,capped_append,16,8,11,4064.167,7022.709,7022.709,1765.6130959054549,,
postgres,after,2,capped_append,128,1,11,2072.375,2198.375,2198.375,478.87339027254035,,
